sample-id	Fraction	Genotype	Soil	Experiment	lowgermination	replant	Depth
GC76GC2	EC	phr1	MF21	GC2	NA		85698
GC77GC2	EC	phr1	MF21	GC2	NA		73471
GC78GC2	EC	phr1	MF21	GC2	NA		28990
GC79GC2	EC	phr1	MF21	GC2	NA		23812
GC7GC1	EC	Col	MF21	GC1	7	2014-02-03	81114
GC7GC2	EC	Col	MF21	GC2	NA		49664
GC80GC2	EC	phr1	MF21	GC2	NA		81073
GC81GC2	EC	SPX1/SPX2	MF21	GC2	NA		110815
GC82GC1	EC	phr1	MF21	GC1	NA		37814
GC83GC1	EC	phr1	MF21	GC1	NA		8552
GC83GC2	EC	SPX1/SPX2	MF21	GC2	NA		91621
GC84GC1	EC	phr1	MF21	GC1	NA		38107
GC84GC2	EC	SPX1/SPX2	MF21	GC2	NA		107560
GC85GC1	EC	phr1	MF21	GC1	NA		37699
GC85GC2	EC	SPX1/SPX2	MF21	GC2	NA		3957
GC87GC1	EC	phr1	MF21	GC1	NA		63863
GC87GC2	EC	SPX1/SPX2	MF21	GC2	NA		88292
GC88GC1	EC	phr1	MF21	GC1	NA		2437
GC88GC2	EC	SPX1/SPX2	MF21	GC2	NA		74845
GC89GC1	EC	phr1	MF21	GC1	NA		17315
GC89GC2	EC	SPX1/SPX2	MF21	GC2	NA		100611
GC8GC2	EC	Col	MF21	GC2	NA		88558
GC90GC1	EC	phr1	MF21	GC1	NA		21513
GC90GC2	EC	SPX1/SPX2	MF21	GC2	NA		178887
GC91GC1	EC	SPX1/SPX2	MF21	GC1	NA		23075
GC91GC2	Soil	Soil	MF21	GC2	NA		223301
GC92GC2	Soil	Soil	MF21	GC2	NA		121869
GC93GC1	EC	SPX1/SPX2	MF21	GC1	NA		59271
GC93GC2	Soil	Soil	MF21	GC2	NA		124890
GC94GC1	EC	SPX1/SPX2	MF21	GC1	NA		24277
GC94GC2	Soil	Soil	MF21	GC2	NA		172432
GC95GC2	Soil	Soil	MF21	GC2	NA		140486
GC96GC2	Soil	Soil	MF21	GC2	NA		176462
GC97GC1	EC	SPX1/SPX2	MF21	GC1	NA		198505
GC98GC1	EC	SPX1/SPX2	MF21	GC1	NA		24078
GC98GC2	Soil	Soil	MF21	GC2	NA		218115
GC99GC2	Soil	Soil	MF21	GC2	NA		169117
GC9GC1	EC	Col	MF21	GC1	9	2014-02-03	4054
GC9GC2	EC	Col	MF21	GC2	NA		82889
